DY
70
16
gabor1;gabor2;gabor3;gabor4;gabor5;gabor6;gabor7;gabor8;gabor9;gabor10;gabor11;gabor12;gabor13;gabor14;gabor15;gabor16;
D103_01.bmp;10052096.791973;8534646.648819;8077071.147731;8567281.463619;14012584.975221;7567347.543576;13243322.871562;10045212.407494;35582494.139915;17727466.020332;38389239.768116;23902439.922878;25435611.435579;18023681.735782;30828402.026733;23587498.370492;0
D103_02.bmp;10627512.110782;10089249.164938;5983032.247032;7193647.438134;14119759.663897;7453673.278972;10659443.561026;8375593.635872;39757645.946413;19067392.882684;37171855.051303;19343509.475105;26394638.437406;19073106.449449;30382011.480117;21090461.584597;0
D103_03.bmp;12157840.470355;5736041.158689;8000774.592330;9127038.652482;15001713.805822;8818345.157229;13350277.376884;9658302.813843;39052541.434645;23568268.904322;45206397.892995;25782821.598122;26451732.200830;21513931.485636;32226200.079138;23909278.010793;0
D103_04.bmp;10276930.523403;6841576.156352;9244002.849889;8086776.285608;15305339.296480;9272527.236450;12462991.489705;9065111.993911;43533832.567874;23672047.784667;42777519.615391;20997117.170003;26716493.250895;22023162.061822;32011376.056390;21114744.446498;0
D103_05.bmp;8234434.570877;7063788.501588;8287555.219716;7551969.295590;11620676.617606;9275018.026175;14283890.915286;10293871.426283;37685701.604343;21142745.350649;43336707.097935;24407873.251857;25870966.663845;20583820.636747;31317678.167759;22948344.250695;0
D103_06.bmp;7861106.006506;5329469.229058;6786905.458408;5458522.701579;13284677.157775;8627245.112414;12801150.820835;8882460.134139;42644547.258314;23585730.395153;44748845.421283;25534895.824578;27295568.673912;21866357.227324;32646523.771958;23195112.987353;0
D103_07.bmp;10436447.689400;10525609.058480;5024530.565607;8028430.827148;15419499.472629;9803005.787383;11892594.491159;8310485.456343;40197979.616991;23429322.657701;46325473.481779;21612160.077813;27490735.074338;23544216.037062;31707491.656744;20917787.972260;0
D103_08.bmp;13323996.374640;9295414.744970;6034793.754716;8721807.593253;13330436.901391;7910000.096468;11077480.218657;9516461.647732;39551539.750588;18538086.176245;38820901.840918;23285890.027098;27213941.273835;18957057.365267;31966139.027579;23600484.487917;0
D103_09.bmp;6508132.803813;7051138.473869;9601116.001526;9736483.001580;14250845.227068;11088795.923642;15722281.346004;10573032.789827;45753345.490427;23236225.895467;43031267.153908;27359022.566388;27151438.501794;21187100.706577;32534992.752931;23701141.017409;0
D103_10.bmp;7929134.082007;6773622.620016;5830813.159874;7535577.727752;14908277.165223;8184557.589997;12410190.407773;11705045.679483;34919394.644109;18790553.831579;40054654.797295;24188438.057880;25666027.942078;18250821.002944;30955672.972740;24120528.926934;0
D104_01.bmp;10553237.241554;6902213.316097;7729176.081717;6583945.645164;16955735.589705;9895118.408131;11581671.784998;9558201.257661;41316532.593162;25708801.083403;45080748.692748;22800834.539484;26831124.263947;22271203.579295;31226638.565598;20923535.211490;1
D104_02.bmp;9251303.159549;6888018.147916;5100960.791688;7206362.227776;13867998.461713;7716578.950469;10880135.125785;8268070.595087;37697214.843003;22616490.032800;43403502.523462;24300516.392133;26427913.285130;20343573.424054;30339980.920901;23657234.190056;1
D104_03.bmp;8289429.915903;9203196.119921;7125961.477213;8420062.047223;15728334.095340;8505278.639532;9848603.949421;7699521.145590;40245996.427784;22569365.721634;41792624.121692;20900420.029145;26340944.422565;20632638.340891;30053899.964409;20333320.336361;1
D104_04.bmp;6933780.212055;6491802.041697;4605528.250217;8008201.750787;12839819.986275;7324002.559537;11602103.994038;9216524.075375;35790689.695983;18114701.550923;39706200.760666;22795000.430100;24606248.866356;16659945.334476;28074651.146334;22737853.114466;1
D104_05.bmp;6845476.001153;9365621.325764;8085564.691769;6653481.280575;13684799.010757;8729097.205911;13651116.313392;8546718.919090;43244722.676129;22979298.423246;44331266.449854;22928697.578383;28312521.947596;22325564.242226;31090639.905774;21897437.934539;1
D104_06.bmp;5135487.857118;6938652.137034;10211997.352375;7243193.539862;16150056.961560;10337054.803753;13579696.742124;8787570.271053;45574692.301366;24429559.385344;44808761.506975;26873193.086519;27760809.287885;21976547.804631;30992584.440785;23387829.568490;1
D104_07.bmp;6389048.653936;8417237.064800;6023256.828278;7895802.349509;12846536.915621;7970225.019231;13057337.264352;9845921.839831;41072871.679487;22967906.228426;44417727.152194;25687653.826650;26359722.756750;20040125.401377;30909898.607163;23861055.020591;1
D104_08.bmp;5812893.062702;8787769.461210;9396059.025904;7666340.574842;13003294.808451;9652972.952853;13899448.104329;8255750.255622;40382988.910893;25018957.960652;46305701.829465;22598558.694904;26978167.773275;22681745.806065;30436921.191254;21460443.532940;1
D104_09.bmp;7351888.629825;6977426.601663;6064572.329151;8126952.137436;10615458.635278;7678532.446312;11933303.086432;8401607.683495;39351899.027825;24050243.123383;44833108.461417;22605405.566484;26436837.812417;21154374.506936;30618699.626984;21458526.300895;1
D104_10.bmp;9957908.550149;6767436.347056;8772726.756089;6897854.410026;15251561.947634;9497870.383145;13290256.050653;8960283.316381;42969058.633897;26256728.769957;45482925.736811;22660329.605924;27129461.959260;22817017.500341;31951751.925446;21496039.881818;1
D11_01.bmp;25188833.847474;7594063.556377;8420656.614739;5722723.241379;13297189.824381;9058751.115991;9627181.929374;9453790.849648;17041655.377936;19440907.714547;14875909.309963;17371323.006374;18369916.717797;14009367.269532;15182948.566666;18383201.380328;2
D11_02.bmp;25402943.830701;4135636.916209;3462113.378555;6387736.625749;12880010.064591;8042765.985793;8513934.822479;8697428.920670;16741347.670333;16921919.536350;14209517.110682;17424287.959208;17907916.809958;13586651.840847;14856359.733139;18729117.146906;2
D11_03.bmp;23495361.779360;5846364.586282;4375042.500003;4823070.891950;12623043.631670;8277518.176067;8408535.394067;8706750.822363;16780564.814502;18439083.896088;13716997.732541;15492099.000988;16476664.957698;12720305.312259;14219400.903705;16503912.142609;2
D11_04.bmp;24277737.964200;4580202.042842;2925928.433312;4405623.867975;12740936.779739;8362473.815180;7451589.787201;7295033.541066;14808665.010902;14398226.088114;13462596.068974;15665018.631841;15363496.236830;11852484.521964;13449922.658884;16300766.317212;2
D11_05.bmp;27478062.922868;5314920.725734;4168191.837849;5987625.661680;15199881.081521;8096250.066076;7631693.536007;8803883.806038;17556850.586491;19867934.703350;14325849.146786;15757002.469924;17817175.105032;14109158.296816;15400870.509946;18120413.580999;2
D11_06.bmp;30033604.092591;5810853.789658;5137464.871717;6725085.643444;15636736.908038;9241782.724005;7428490.677585;8414633.552034;17622065.383846;19406692.446936;14417295.304159;16630459.196090;18133775.128510;14162384.821551;15252643.837802;18257988.026372;2
D11_07.bmp;29611763.992952;4886249.502058;3156999.300060;5206733.362187;15612977.767260;7745075.659017;7185597.638357;9162925.659772;17022937.831493;15843951.707437;13446085.395275;16511977.426795;17767283.684930;13538328.850907;14740361.852780;18010306.978671;2
D11_08.bmp;28293244.077342;6200395.576502;4035586.916287;7202079.743067;14268349.074085;8956464.094571;8633284.928988;9378349.579109;17421355.229905;18839889.681476;14563029.270605;17033361.831446;18168088.320690;14002231.123416;15274700.025863;18329396.901134;2
D11_09.bmp;26540522.611461;5247083.940198;4644816.018047;5011437.573919;13794850.181189;7718076.130231;7669960.028444;8627569.265304;17395226.002595;17432837.383593;14157459.236305;16939903.744465;18033140.553974;13566619.215025;14728695.201234;17673991.101340;2
D11_10.bmp;25729336.235415;6025369.425865;6204370.869925;4875852.713218;13348233.978845;8137676.684558;7941562.782649;8779376.450698;16769279.883270;17636459.860141;14379649.470491;17435084.958785;17887124.083544;13757029.256744;15462567.168899;18258723.637515;2
D47_01.bmp;6151261.778102;10192956.399960;7935338.919386;7154508.814265;11112262.207067;19252663.158465;14024125.052929;14394436.479689;11397018.424832;19253238.278118;14486600.440621;19098283.137822;5809072.316519;8591163.365890;7185348.493085;8410207.436439;3
D47_02.bmp;6074342.702663;9185696.638053;5944487.880073;8719499.754558;9679622.221108;20571864.071164;13663824.807712;12121420.057549;9702762.649670;18978223.675809;13332384.605894;17059084.011305;5705747.357852;8122589.249171;6849610.130491;8019488.472215;3
D47_03.bmp;6867045.080758;9775357.673837;5663143.157168;7337498.290024;10016436.159417;18374377.780646;13743689.694138;15423342.295433;9281651.268908;20142738.378290;13226277.648207;18384055.753397;5555273.907885;7818475.960458;6563216.525809;7355804.081636;3
