DY
540
28
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21;attr22;attr23;attr24;attr25;attr26;attr27;attr28;
classe11_01.bmp;-0.852963;0.594506;0.117353;-0.001841;0.495077;-0.244195;-0.3894;0.230828;-1.326581;2.576351;-0.66226;2.576351;-1.326581;0.230828;-0.3894;-0.244195;0.495077;-0.001841;0.117353;0.594506;1.412542;0.998733;0.879593;0.336124;0.760575;1.068047;0.891425;1.296342;11.0
classe11_02.bmp;-0.941024;0.297934;0.159784;-0.038484;0.021443;-0.077584;-0.438923;-0.279297;-0.189763;-1.63441;2.377158;-1.63441;-0.189763;-0.279297;-0.438923;-0.077584;0.021443;-0.038484;0.159784;0.297934;1.355285;0.872094;0.648492;0.412461;0.733892;1.012306;0.941758;1.199002;11.0
classe11_03.bmp;-0.014673;1.044743;1.176773;0.919506;1.289855;1.137386;0.514389;0.905282;0.66182;-0.458669;2.430095;-0.458669;0.66182;0.905282;0.514389;1.137386;1.289855;0.919506;1.176773;1.044743;1.203857;0.18552;-0.177052;0.171103;0.594283;0.929122;-0.111525;0.57431;11.0
classe11_04.bmp;0.043472;0.633831;1.281159;0.8479;0.834274;1.135346;0.544388;0.29963;0.77454;0.304337;-0.407289;0.304337;0.77454;0.29963;0.544388;1.135346;0.834274;0.8479;1.281159;0.633831;0.730293;0.015652;-0.244341;-0.101533;0.45852;0.73087;-0.250083;0.169612;11.0
classe11_05.bmp;-0.219755;0.824903;0.980382;0.583583;0.974133;0.853822;0.181297;0.654076;0.424075;-0.748448;2.418509;-0.748448;0.424075;0.654076;0.181297;0.853822;0.974133;0.583583;0.980382;0.824903;1.121016;0.405877;0.460529;0.399278;0.82808;0.993765;0.086896;0.636374;11.0
classe11_06.bmp;-0.319259;0.714649;0.862996;0.446749;0.817879;0.702609;0.047305;0.512655;0.301341;-0.884801;2.413207;-0.884801;0.301341;0.512655;0.047305;0.702609;0.817879;0.446749;0.862996;0.714649;1.109377;0.467614;0.61224;0.383163;0.834435;1.041799;0.203936;0.706611;11.0
classe11_07.bmp;-0.240049;0.317539;0.94373;0.439391;0.47266;0.657581;0.17504;-0.072303;0.437259;-0.027053;-0.768513;-0.027053;0.437259;-0.072303;0.17504;0.657581;0.47266;0.439391;0.94373;0.317539;0.702593;0.136421;0.304015;0.088886;0.706227;0.911868;0.041209;0.30165;11.0
classe11_08.bmp;-0.509772;0.542116;0.584115;0.276602;0.513529;0.398062;-0.111409;0.20088;0.090807;-1.14251;2.401708;-1.14251;0.090807;0.20088;-0.111409;0.398062;0.513529;0.276602;0.584115;0.542116;1.019785;0.765595;0.89942;0.425679;1.140645;1.203203;0.391651;0.765921;11.0
classe11_09.bmp;-0.582278;0.457632;0.463576;0.163033;0.410179;0.287347;-0.216314;0.058093;-0.00638;-1.247616;2.396242;-1.247616;-0.00638;0.058093;-0.216314;0.287347;0.410179;0.163033;0.463576;0.457632;0.997536;0.713181;0.824749;0.401008;1.190662;1.25435;0.477141;0.805535;11.0
classe11_10.bmp;-0.703786;0.3997;0.366588;0.059227;0.263438;0.148293;-0.332066;-0.058227;-0.06944;-1.393688;2.39131;-1.393688;-0.06944;-0.058227;-0.332066;0.148293;0.263438;0.059227;0.366588;0.3997;0.959005;0.721155;0.696031;0.523707;1.209541;1.35282;0.601768;0.876124;11.0
classe11_11.bmp;-0.6187;0.031452;0.470012;-0.01564;-0.04037;0.17853;-0.307422;-0.502406;-0.037075;-0.328974;-1.237157;-0.328974;-0.037075;-0.502406;-0.307422;0.17853;-0.04037;-0.01564;0.470012;0.031452;0.626208;0.349137;0.392937;0.476019;0.924507;1.167725;0.431163;0.497134;11.0
classe11_12.bmp;-0.712344;-0.009338;0.384107;-0.079759;-0.150958;0.089602;-0.426351;-0.547119;-0.125096;-0.368459;-1.335499;-0.368459;-0.125096;-0.547119;-0.426351;0.089602;-0.150958;-0.079759;0.384107;-0.009338;0.740834;0.514023;0.397326;0.653214;1.029421;1.231549;0.539235;0.583391;11.0
